wavenumber,M1_1,M1_2,M1_3,M1_4,M1_5,M1_6,M1_7,M1_8,M1_9,M1_10,M1_11,M1_12,M2_1,M2_2,M2_3,M2_4,M2_5,M2_6,M2_7,M2_8,M2_9,M2_10,M2_11,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12
408.8349918838559,-0.09703843295574188,-0.132733553647995,-0.12114864587783813,-0.09945578128099442,-0.10873095691204071,-0.11359680444002151,-0.1397710144519806,-0.12036924809217453,-0.11465945094823837,-0.11642249673604965,-0.11832674592733383,-0.11447494477033615,0.0013347547501325607,-0.12495936453342438,-0.0024585938081145287,-0.1218697726726532,-0.11903487890958786,-0.12587560713291168,-0.12812338769435883,-0.11801257729530334,-0.13212436437606812,-0.09546824544668198,-0.11667580902576447,-0.14017610251903534,-0.14973831176757812,-0.10600133240222931,-0.12576234340667725,-0.1146068274974823,-0.12410399317741394,-0.0837920755147934,-0.11248651146888733,-0.11104171723127365,-0.1117575541138649,-0.09593149274587631,-0.1327710598707199
409.79922535528004,-0.09702491015195847,-0.13253314793109894,-0.12121059745550156,-0.0978405699133873,-0.10750679671764374,-0.11352544277906418,-0.13921603560447693,-0.11906072497367859,-0.1132022887468338,-0.11632576584815979,-0.11951278895139694,-0.11539924144744873,0.0016331925289705396,-0.12502838671207428,-0.0023301804903894663,-0.12223108857870102,-0.1193997710943222,-0.12549611926078796,-0.12815767526626587,-0.11826975643634796,-0.1309460699558258,-0.09476489573717117,-0.11720769852399826,-0.140122190117836,-0.14929015934467316,-0.10742898285388947,-0.1261715143918991,-0.11600638180971146,-0.12423998862504959,-0.08390003442764282,-0.11260464787483215,-0.11151029914617538,-0.11281895637512207,-0.09515941143035889,-0.13327312469482422
410.76345882670427,-0.09666964411735535,-0.1328006535768509,-0.12073009461164474,-0.09630317986011505,-0.10635142773389816,-0.11369960010051727,-0.13873375952243805,-0.11800720542669296,-0.11210519075393677,-0.116666279733181,-0.12063837051391602,-0.116363026201725,0.0019528461853042245,-0.12430212646722794,-0.002500433474779129,-0.12255342304706573,-0.11963820457458496,-0.12496855109930038,-0.12841562926769257,-0.11867038905620575,-0.13013581931591034,-0.09372159093618393,-0.1183997392654419,-0.13999980688095093,-0.1486593633890152,-0.10867597162723541,-0.1262892186641693,-0.11699707061052322,-0.12370261549949646,-0.08368542045354843,-0.11206694692373276,-0.11186005920171738,-0.11419876664876938,-0.09472719579935074,-0.133528932929039
411.72769229812843,-0.09600255638360977,-0.1332516223192215,-0.11999157816171646,-0.09549820423126221,-0.10572885721921921,-0.11412375420331955,-0.13848267495632172,-0.1175537258386612,-0.11156073957681656,-0.11731187254190445,-0.1216001883149147,-0.1169697493314743,0.00221600872464478,-0.1230488121509552,-0.002968139946460724,-0.12274157255887985,-0.11975844204425812,-0.12441506236791611,-0.1288210153579712,-0.1190425306558609,-0.12997283041477203,-0.09295612573623657,-0.11996225267648697,-0.13973434269428253,-0.14809276163578033,-0.10943866521120071,-0.12613053619861603,-0.11725665628910065,-0.1227114200592041,-0.08304651826620102,-0.11110909283161163,-0.11188618838787079,-0.1154928058385849,-0.09492698311805725,-0.13343147933483124
412.69192576955265,-0.0952906385064125,-0.13353630900382996,-0.11936793476343155,-0.09576180577278137,-0.10584823787212372,-0.1147848442196846,-0.1385612189769745,-0.11780793219804764,-0.11165138334035873,-0.11806836724281311,-0.1223219782114029,-0.1170305535197258,0.0023338417522609234,-0.12171107530593872,-0.0035617093089967966,-0.12291092425584793,-0.11990248411893845,-0.1238727942109108,-0.12911677360534668,-0.1192217469215393,-0.13046753406524658,-0.0930839404463768,-0.12146609276533127,-0.13935168087482452,-0.14777232706546783,-0.10964006185531616,-0.1257496029138565,-0.11669722199440002,-0.12153908610343933,-0.08211502432823181,-0.11010445654392242,-0.11150515824556351,-0.11631424725055695,-0.09581395238637924,-0.13295353949069977
413.6561592409768,-0.09487876296043396,-0.133432999253273,-0.11905510723590851,-0.09692671149969101,-0.10655029863119125,-0.11559926718473434,-0.1390155702829361,-0.11859910935163498,-0.11230512708425522,-0.11875923722982407,-0.12275424599647522,-0.11660845577716827,0.002264813520014286,-0.1206391453742981,-0.0040575736202299595,-0.12327354401350021,-0.12021474540233612,-0.123340904712677,-0.12900817394256592,-0.11916425824165344,-0.1313885897397995,-0.09428393095731735,-0.12251506745815277,-0.13895916938781738,-0.14774365723133087,-0.10942504554986954,-0.12523601949214935,-0.11551231890916824,-0.12040513753890991,-0.08117078989744186,-0.10942425578832626,-0.11080611497163773,-0.11651608347892761,-0.09708661586046219,-0.1321941465139389
414.620392712401,-0.09497903287410736,-0.13291941583156586,-0.11895354837179184,-0.09845712780952454,-0.10740695148706436,-0.11635210365056992,-0.1398424357175827,-0.11956070363521576,-0.11332743614912033,-0.11924043297767639,-0.12287425994873047,-0.11586351692676544,0.0020516300573945045,-0.11992471665143967,-0.004297483246773481,-0.12396501004695892,-0.12071158736944199,-0.12286526709794998,-0.12834148108959198,-0.11897233873605728,-0.1324189454317093,-0.09616224467754364,-0.12286275625228882,-0.13867279887199402,-0.14793269336223602,-0.10900404304265976,-0.12471187114715576,-0.11404518783092499,-0.11942039430141449,-0.08048451691865921,-0.10934296250343323,-0.11000125110149384,-0.1162356361746788,-0.09812057018280029,-0.13137240707874298
415.5846261838252,-0.09555888175964355,-0.132113978266716,-0.11874603480100632,-0.0997326448559761,-0.10792175680398941,-0.11668612062931061,-0.14097127318382263,-0.12024616450071335,-0.11447583138942719,-0.11935550719499588,-0.12267927825450897,-0.11488228291273117,0.0018205740489065647,-0.11943650990724564,-0.004211929626762867,-0.12493957579135895,-0.12123798578977585,-0.12259186059236526,-0.12718099355697632,-0.11883200705051422,-0.13330338895320892,-0.0979112982749939,-0.12241524457931519,-0.13856753706932068,-0.1482168436050415,-0.10849590599536896,-0.12431897968053818,-0.11262071877717972,-0.11860229074954987,-0.0802236944437027,-0.11001888662576675,-0.10934563726186752,-0.11576817184686661,-0.09811307489871979,-0.1307974010705948
416.5488596552494,-0.09632657468318939,-0.1312049925327301,-0.11808893829584122,-0.10027676820755005,-0.10772199183702469,-0.11617747694253922,-0.14220821857452393,-0.12022209167480469,-0.11550860106945038,-0.11889679729938507,-0.12219147384166718,-0.1136481836438179,0.0017629441572353244,-0.1189764216542244,-0.003770038951188326,-0.12593796849250793,-0.12150021642446518,-0.12275096029043198,-0.12580472230911255,-0.11892399936914444,-0.13390757143497467,-0.09857386350631714,-0.12120445817708969,-0.1386634111404419,-0.14848066866397858,-0.10788649320602417,-0.12418704479932785,-0.11146574467420578,-0.11793417483568192,-0.0804353877902031,-0.11146317422389984,-0.10908657312393188,-0.11540409922599792,-0.09632445126771927,-0.13083328306674957
417.5130931266736,-0.09678280353546143,-0.13043640553951263,-0.11687998473644257,-0.09991904348134995,-0.10677231848239899,-0.11458010971546173,-0.14316609501838684,-0.11922726780176163,-0.11620163917541504,-0.11767090857028961,-0.12148698419332504,-0.11218676716089249,0.0020848687272518873,-0.11846613138914108,-0.002941640093922615,-0.12650012969970703,-0.12117122113704681,-0.12352367490530014,-0.12468218058347702,-0.11932187527418137,-0.134216770529747,-0.09742867201566696,-0.11945182830095291,-0.1389002501964569,-0.14862699806690216,-0.10711787641048431,-0.12435691803693771,-0.11070036888122559,-0.11744189262390137,-0.08102048188447952,-0.11339418590068817,-0.10940301418304443,-0.11529198288917542,-0.09256020188331604,-0.13178029656410217
418.47732659809776,-0.09645560383796692,-0.13008111715316772,-0.11553756892681122,-0.09892791509628296,-0.10557820647954941,-0.11225072294473648,-0.14333473145961761,-0.11748340725898743,-0.11639232188463211,-0.11574545502662659,-0.12071241438388824,-0.11079049110412598,0.0028613784816116095,-0.11808804422616959,-0.00175248843152076,-0.12613169848918915,-0.12013020366430283,-0.12475861608982086,-0.1243443489074707,-0.11987461149692535,-0.1343168318271637,-0.09462716430425644,-0.11769407987594604,-0.13908375799655914,-0.14856106042861938,-0.1062670424580574,-0.12466375529766083,-0.11032833904027939,-0.11725591123104095,-0.08167257905006409,-0.11507215350866318,-0.11025708168745041,-0.11533260345458984,-0.08782418817281723,-0.1335633546113968
419.4415600695219,-0.09536754339933395,-0.13026925921440125,-0.1149057075381279,-0.09791579842567444,-0.10498517006635666,-0.11025892198085785,-0.1424761414527893,-0.11582157015800476,-0.11607008427381516,-0.11367388814687729,-0.12000560760498047,-0.10999704152345657,0.0038472383748739958,-0.11818087100982666,-0.0004144828417338431,-0.12473288178443909,-0.11872041970491409,-0.12581278383731842,-0.12500059604644775,-0.12021737545728683,-0.13433603942394257,-0.09154445677995682,-0.11665250360965729,-0.13890184462070465,-0.14818823337554932,-0.10564258694648743,-0.12474225461483002,-0.11022978276014328,-0.11756722629070282,-0.08195028454065323,-0.11557922512292862,-0.11126472055912018,-0.11522264033555984,-0.08419967442750931,-0.135464608669281
420.40579354094615,-0.09415440261363983,-0.13079026341438293,-0.11552257835865021,-0.09734553098678589,-0.10539549589157104,-0.10956879705190659,-0.14098283648490906,-0.11508318036794662,-0.1153779923915863,-0.11220179498195648,-0.11936192214488983,-0.11012004315853119,0.004559657536447048,-0.11882146447896957,0.000692136469297111,-0.1228523924946785,-0.11756471544504166,-0.12601985037326813,-0.12624408304691315,-0.12007724493741989,-0.1343349814414978,-0.08979947119951248,-0.11667270958423615,-0.13812080025672913,-0.14745204150676727,-0.10556548833847046,-0.12433003634214401,-0.11024393886327744,-0.11844119429588318,-0.08161798864603043,-0.1146446168422699,-0.11191675812005997,-0.1147431954741478,-0.0832858756184578,-0.13653059303760529
